Rank_0,Rank_1,Team (FPV),Conf,WLT,Points,Last Week,W-L,BCS,CP,CFP,3WT
RV,< NR,Tennessee,SEC,,4,L 28-27 A Florida,2-2,, RV ,, -- 
NR,< NR,Arizona State,Pac-12,,0,L 42-14 H #19 USC,2-2,, NR ,, -- 
NR,< NR,Arkansas,SEC,,0,L 28-21 (1OT) N #14 Texas A&M (Southwest Classic),1-3,, NR ,, -- 
NR,< NR,Auburn,SEC,,0,L 17-9 H Mississippi State,2-2,, RV ,, -8 
NR,< 20,Georgia Tech,ACC,,0,L 34-20 A Duke,2-2,, RV ,, -12 
NR,< NR,Illinois,Big Ten,,0,W 27-25 H Middle Tennessee,3-1,, RV ,, -- 
NR,< NR,Indiana,Big Ten,,0,W 31-24 A Wake Forest,4-0,, RV ,, -- 
NR,< NR,Kentucky,SEC,,0,W 21-13 H #25 Missouri,3-1,, RV ,, -- 
NR,< 25,Missouri,SEC,,0,L 21-13 A Kentucky,3-1,, RV ,, -4 
NR,< NR,Penn State,Big Ten,,0,W 37-21 H San Diego State,3-1,, NR ,, -- 
NR,< NR,Texas,Big 12,,0,L 30-27 H #24 Oklahoma State,1-3,, NR ,, -- 
1,< 1,Ohio State (38),Big Ten,,1444,W 34-27 A Indiana,5-0,, 1 ,, 0 
2,< 4,TCU (5),Big 12,,1371,W 50-7 H Texas,5-0,, 2 ,, +1 
3,< 5,Baylor (10),Big 12,,1364,W 63-35 N Texas Tech,4-0,, 4 ,, +2 
4,< 2,Michigan State,Big Ten,,1291,W 24-21 H Purdue,5-0,, 3 ,, -2 
5,< 10,Utah (7),Pac-12,,1254,DNP,4-0,, 7 ,, +13 
6,< 12,Clemson,ACC,,1217,W 24-22 H #6 Notre Dame,4-0,, 6 ,, +5 
7,< 9,LSU,SEC,,1212,W 44-22 H Eastern Michigan,4-0,, 5 ,, +1 
8,< 13,Alabama,SEC,,1026,W 38-10 A #8 Georgia,4-1,, 10 ,, +4 
9,< 14,Texas A&M (1),SEC,,1009,W 30-17 H #21 Mississippi State,5-0,, 11 ,, +5 
10,< 15,Oklahoma,Big 12,,976,W 44-24 H #23 West Virginia,4-0,, 9 ,, +5 
11,< 25,Florida,SEC,,935,W 38-10 H #3 Mississippi,5-0,, 12 ,, +15 
12,< 11,Florida State,ACC,,922,W 24-16 A Wake Forest,4-0,, 8 ,, -2 
13,< 16,Northwestern,Big Ten,,753,W 27-0 H Minnesota,5-0,, 14 ,, +4 
14,< 3,Mississippi,SEC,,731,L 38-10 A #25 Florida,4-1,, 13 ,, -11 
15,< 6,Notre Dame,Ind,,721,L 24-22 A #12 Clemson,4-1,, 15 ,, -9 
16,< 18,Stanford,Pac-12,,617,W 55-17 H Arizona,4-1,, 18 ,, +5 
17,< 17,USC,Pac-12,,498,DNP,3-1,, 17 ,, +2 
18,< 22,Michigan,Big Ten,,452,W 28-0 A Maryland,4-1,, 21 ,, +8 
19,< 8,Georgia,SEC,,441,L 38-10 H #13 Alabama,4-1,, 16 ,, -12 
20,< 7,UCLA,Pac-12,,415,L 38-23 H Arizona State,4-1,, 20 ,, -11 
21,< 20,Oklahoma State,Big 12,,332,W 36-34 H Kansas State,5-0,, 19 ,, +3 
22,< NR,Iowa,Big Ten,,254,W 10-6 A #19 Wisconsin,5-0,, 23 ,, +4 
23,< 24,California,Pac-12,,233,W 34-28 H Washington State,5-0,, 22 ,, +3 
24,< NR,Toledo,MAC,,87,W 24-10 A Ball State,4-0,, RV ,, +2 
25,< NR,Boise State,MWC,,65,W 55-0 H Hawaii,4-1,, 24 ,, +1 
RV,< NR,Oregon,Pac-12,,39,W 41-24 A Colorado,3-2,, RV ,, -13 
RV,< NR,Duke,ACC,,31,W 9-7 H Boston College,4-1,, RV ,, -- 
RV,< NR,Houston,American,,31,W 38-24 A Tulsa,4-0,, RV ,, -- 
RV,< NR,Temple,American,,23,W 37-3 A Charlotte,4-0,, RV ,, -- 
RV,< NR,Memphis,American,,19,W 24-17 A South Florida,5-0,, 25 ,, -- 
RV,< NR,Navy,American,,19,W 33-11 H Air Force,4-0,, RV ,, -- 
RV,< NR,Arizona State,Pac-12,,15,W 38-23 A #7 UCLA,3-2,, RV ,, -- 
RV,< 21,Mississippi State,SEC,,11,L 30-17 A #14 Texas A&M,3-2,, RV ,, -- 
RV,< 23,West Virginia,Big 12,,8,L 44-24 A #15 Oklahoma,3-1,, RV ,, -- 
RV,< NR,Texas Tech,Big 12,,4,L 63-35 N #5 Baylor,3-2,, NR ,, -- 
RV,< NR,BYU,Ind,,3,W 30-13 H Connecticut,3-2,, NR ,, -4 
RV,< NR,Kansas State,Big 12,,1,L 36-34 A #20 Oklahoma State,3-1,, RV ,, -- 
RV,< NR,Missouri,SEC,,1,W 24-10 H South Carolina,4-1,, RV ,, -1 
NR,< NR,Arizona,Pac-12,,0,L 55-17 A #18 Stanford,3-2,, RV ,, -10 
NR,< NR,Arkansas,SEC,,0,W 24-20 A Tennessee,2-3,, NR ,, -- 
NR,< NR,Boston College,ACC,,0,L 9-7 A Duke,3-2,, NR ,, -- 
NR,< NR,Georgia Tech,ACC,,0,L 38-31 H North Carolina,2-3,, NR ,, -- 
NR,< NR,Illinois,Big Ten,,0,W 14-13 H Nebraska,4-1,, RV ,, -- 
NR,< NR,Indiana,Big Ten,,0,L 34-27 H #1 Ohio State,4-1,, RV ,, -- 
NR,< NR,Kentucky,SEC,,0,W 34-27 (1OT) H Eastern Kentucky,4-1,, RV ,, -- 
NR,< NR,Louisville,ACC,,0,W 20-13 A NC State,2-3,, NR ,, -- 
NR,< NR,Minnesota,Big Ten,,0,L 27-0 A #16 Northwestern,3-2,, NR ,, -- 
NR,< NR,North Carolina,ACC,,0,W 38-31 A Georgia Tech,4-1,, RV ,, -- 
NR,< NR,Penn State,Big Ten,,0,W 20-14 H Army,4-1,, NR ,, -- 
NR,< NR,Tennessee,SEC,,0,L 24-20 H Arkansas,2-3,, NR ,, -- 
NR,< 19,Wisconsin,Big Ten,,0,L 10-6 H Iowa,3-2,, RV ,, -4 
1,< 1,Ohio State (27),Big Ten,,1411,W 49-28 H Maryland,6-0,, *1 ,, 0 
2,< 3,Baylor (13),Big 12,,1390,W 66-7 A Kansas,5-0,, *2 ,, +3 
3,< 2,TCU (3),Big 12,,1354,W 52-45 A Kansas State,6-0,, *3 ,, +1 
4,< 5,Utah (16),Pac-12,,1350,W 30-24 H #23 California,5-0,, *7 ,, +6 
5,< 6,Clemson (1),ACC,,1260,W 43-24 H Georgia Tech,5-0,, 6 ,, +7 
6,< 7,LSU,SEC,,1231,W 45-24 A South Carolina (Baton Rouge),5-0,, *5 ,, +3 
7,< 4,Michigan State,Big Ten,,1139,W 31-24 A Rutgers,6-0,, *4 ,, -5 
8,< 11,Florida,SEC,,1075,W 21-3 A Missouri,6-0,, 11 ,, +17 
9,< 9,Texas A&M (1),SEC,,1046,DNP,5-0,, 10 ,, +5 
10,< 8,Alabama,SEC,,1034,W 27-14 H Arkansas,5-1,, 9 ,, +3 
11,< 12,Florida State,ACC,,937,W 29-24 H Miami (FL),5-0,, 8 ,, 0 
12,< 18,Michigan,Big Ten,,894,W 38-0 H #13 Northwestern,5-1,, 14 ,, +10 
13,< 14,Mississippi,SEC,,803,W 52-3 H New Mexico State,5-1,, 12 ,, -10 
14,< 15,Notre Dame,Ind,,766,W 41-24 H Navy,5-1,, 13 ,, -8 
15,< 16,Stanford,Pac-12,,662,DNP,4-1,, 16 ,, +3 
16,< 21,Oklahoma State,Big 12,,614,W 33-26 (1OT) A West Virginia,6-0,, 15 ,, +4 
17,< 22,Iowa,Big Ten,,520,W 29-20 H Illinois,6-0,, 17 ,, +9 
18,< 20,UCLA,Pac-12,,487,DNP,4-1,, 18 ,, -11 
19,< 10,Oklahoma,Big 12,,342,L 24-17 N Texas,4-1,, 19 ,, -4 
20,< 13,Northwestern,Big Ten,,317,L 38-0 A #18 Michigan,5-1,, 21 ,, -4 
21,< 25,Boise State,MWC,,260,W 41-10 A Colorado State,5-1,, 20 ,, +5 
22,< 24,Toledo,MAC,,237,W 38-7 H Kent State,5-0,, 25 ,, +4 
23,< 23,California,Pac-12,,204,L 30-24 A #5 Utah,5-1,, 23 ,, +1 
24,< NR,Houston,American,,121,W 49-28 H SMU,5-0,, RV ,, +2 
25,< NR,Duke,ACC,,114,W 44-3 A Army,5-1,, 24 ,, +1 
RV,< NR,Temple,American,,96,W 49-10 H Tulane,5-0,, RV ,, -- 
RV,< NR,Memphis,American,,59,DNP,5-0,, 22 ,, -- 
RV,< NR,Arizona State,Pac-12,,27,W 48-23 H Colorado,4-2,, RV ,, -- 
RV,< NR,Mississippi State,SEC,,19,W 45-17 H Troy,4-2,, RV ,, -5 
RV,< 19,Georgia,SEC,,16,L 38-31 A Tennessee,4-2,, RV ,, -18 
RV,< NR,Texas Tech,Big 12,,10,W 66-31 H Iowa State,4-2,, RV ,, -- 
RV,< NR,BYU,Ind,,8,W 45-38 H East Carolina,4-2,, NR ,, -- 
RV,< 17,USC,Pac-12,,5,L 17-12 H Washington,3-2,, RV ,, -9 
RV,< NR,Western Kentucky,C-USA,,5,W 58-28 H Middle Tennessee,5-1,, NR ,, -- 
RV,< NR,Kentucky,SEC,,4,DNP,4-1,, RV ,, -- 
RV,< NR,Penn State,Big Ten,,4,W 29-7 H Indiana,5-1,, RV ,, -- 
RV,< NR,Navy,American,,3,L 41-24 A #15 Notre Dame,4-1,, RV ,, -- 
RV,< NR,North Carolina,ACC,,1,DNP,4-1,, RV ,, -- 
NR,< NR,Arizona,Pac-12,,0,W 44-7 H Oregon State,4-2,, RV ,, -- 
NR,< NR,Arkansas,SEC,,0,L 27-14 A #8 Alabama,2-4,, NR ,, -- 
NR,< NR,Georgia Tech,ACC,,0,L 43-24 A #6 Clemson,2-4,, NR ,, -- 
NR,< NR,Illinois,Big Ten,,0,L 29-20 A #22 Iowa,4-2,, RV ,, -- 
NR,< NR,Kansas State,Big 12,,0,L 52-45 H #2 TCU,3-2,, RV ,, -- 
NR,< NR,Oregon,Pac-12,,0,L 45-38 (2OT) H Washington State,3-3,, NR ,, -- 
NR,< NR,Tennessee,SEC,,0,W 38-31 H #19 Georgia,3-3,, RV ,, -- 
NR,< NR,Texas,Big 12,,0,W 24-17 N #10 Oklahoma,2-4,, RV ,, -- 
NR,< NR,Washington,Pac-12,,0,W 17-12 A #17 USC,3-2,, RV ,, -- 
NR,< NR,West Virginia,Big 12,,0,L 33-26 (1OT) H #21 Oklahoma State,3-2,, RV ,, -3 
NR,< NR,Wisconsin,Big Ten,,0,W 23-21 A Nebraska,4-2,, RV ,, -7 
1,< 1,Ohio State (28),Big Ten,,1428,W 38-10 H Penn State,7-0,, *1 ,, 0 
2,< 2,Baylor (12),Big 12,,1416,W 62-38 H West Virginia,6-0,, *2 ,, +1 
3,< 4,Utah (16),Pac-12,,1362,W 34-18 H Arizona State,6-0,, *7 ,, +2 
4,< 3,TCU (3),Big 12,,1338,W 45-21 A Iowa State,7-0,, *3 ,, -2 
5,< 6,LSU (1),SEC,,1306,W 35-28 H #8 Florida,6-0,, *5 ,, +2 
6,< 5,Clemson (1),ACC,,1252,W 34-17 H Boston College,6-0,, 6 ,, 0 
7,< 7,Michigan State,Big Ten,,1202,W 27-23 A #12 Michigan,7-0,, 4 ,, -3 
8,< 10,Alabama,SEC,,1133,W 41-23 A #9 Texas A&M,6-1,, 8 ,, 0 
9,< 11,Florida State,ACC,,1041,W 41-21 H Louisville,6-0,, 9 ,, +3 
10,< 15,Stanford,Pac-12,,917,W 56-35 H #18 UCLA,5-1,, 11 ,, +6 
11,< 14,Notre Dame,Ind,,898,W 41-31 H USC,6-1,, 10 ,, +4 
12,< 17,Iowa,Big Ten,,820,W 40-10 A #20 Northwestern,7-0,, 13 ,, +10 
13,< 8,Florida,SEC,,785,L 35-28 A #6 LSU,6-1,, 14 ,, -2 
14,< 16,Oklahoma State,Big 12,,735,DNP,6-0,, 12 ,, +7 
15,< 12,Michigan,Big Ten,,614,L 27-23 H #7 Michigan State,5-2,, 17 ,, +3 
15,< 9,Texas A&M,SEC,,614,L 41-23 H #10 Alabama,5-1,, 16 ,, -6 
17,< 19,Oklahoma,Big 12,,565,W 55-0 A Kansas State,5-1,, 15 ,, -7 
18,< NR,Memphis,American,,554,W 37-24 H #13 Mississippi,6-0,, 17 ,, +8 
19,< 22,Toledo,MAC,,346,W 63-20 H Eastern Washington,6-0,, 20 ,, +5 
20,< 23,California,Pac-12,,337,DNP,5-1,, 19 ,, +3 
21,< 24,Houston,American,,318,W 42-7 A Tulane,6-0,, 22 ,, +5 
22,< NR,Temple,American,,217,W 30-16 H UCF,6-0,, 24 ,, +4 
23,< 25,Duke,ACC,,211,DNP,5-1,, 21 ,, +3 
24,< 13,Mississippi,SEC,,158,L 37-24 A Memphis,5-2,, 23 ,, -10 
25,< NR,Pittsburgh,ACC,,73,W 31-28 A Georgia Tech,5-1,, RV ,, +1 
RV,< NR,Mississippi State,SEC,,63,W 45-20 H Louisiana Tech,5-2,, RV ,, -- 
RV,< NR,BYU,Ind,,21,W 38-24 H Cincinnati,5-2,, RV ,, -- 
RV,< 18,UCLA,Pac-12,,18,L 56-35 A #15 Stanford,4-2,, RV ,, -6 
RV,< NR,North Carolina,ACC,,17,W 50-14 H Wake Forest,5-1,, RV ,, -- 
RV,< NR,Texas Tech,Big 12,,14,W 30-20 A Kansas,5-2,, RV ,, -- 
RV,< NR,Georgia,SEC,,12,W 9-6 H Missouri,5-2,, 25 ,, -7 
RV,< NR,Western Kentucky,C-USA,,11,W 55-28 A North Texas,6-1,, RV ,, -- 
RV,< NR,Arizona State,Pac-12,,10,L 34-18 A #4 Utah,4-3,, NR ,, -- 
RV,< NR,Wisconsin,Big Ten,,8,W 24-7 H Purdue,5-2,, RV ,, -- 
RV,< NR,Utah State,MWC,,7,W 52-26 H #21 Boise State,4-2,, RV ,, -- 
RV,< 20,Northwestern,Big Ten,,4,L 40-10 H #17 Iowa,5-2,, RV ,, -13 
NR,< NR,Arizona,Pac-12,,0,W 38-31 A Colorado,5-2,, RV ,, -- 
NR,< 21,Boise State,MWC,,0,L 52-26 A Utah State,5-2,, RV ,, -1 
NR,< NR,Bowling Green,MAC,,0,W 59-10 H Akron,5-2,, RV ,, -- 
NR,< NR,Illinois,Big Ten,,0,DNP,4-2,, RV ,, -- 
NR,< NR,Marshall,C-USA,,0,W 33-17 A Florida Atlantic,6-1,, RV ,, -- 
NR,< NR,Navy,American,,0,DNP,4-1,, RV ,, -- 
NR,< NR,Oregon,Pac-12,,0,W 26-20 A Washington,4-3,, RV ,, -- 
NR,< NR,Tennessee,SEC,,0,DNP,3-3,, NR ,, -- 
NR,< NR,USC,Pac-12,,0,L 41-31 A #14 Notre Dame,3-3,, NR ,, -9 
NR,< NR,Washington State,Pac-12,,0,W 52-31 H Oregon State,4-2,, RV ,, -- 
NR,< NR,West Virginia,Big 12,,0,L 62-38 A #2 Baylor,3-3,, NR ,, -- 
1,< 1,Ohio State (39),Big Ten,,1466,W 49-7 A Rutgers,8-0,, *1 ,, 0 
2,< 2,Baylor (7),Big 12,,1417,W 45-27 H Iowa State,7-0,, *2 ,, 0 
3,< 6,Clemson (6),ACC,,1378,W 58-0 A Miami (FL),7-0,, *6 ,, +2 
4,< 5,LSU (5),SEC,,1344,W 48-20 H Western Kentucky,7-0,, *4 ,, +2 
5,< 4,TCU (3),Big 12,,1327,DNP,7-0,, *3 ,, -2 
6,< 7,Michigan State,Big Ten,,1250,W 52-26 H Indiana,8-0,, 5 ,, +1 
7,< 8,Alabama (1),SEC,,1163,W 19-14 H Tennessee,7-1,, 7 ,, +3 
8,< 10,Stanford,Pac-12,,1062,W 31-14 H Washington,6-1,, 8 ,, +7 
9,< 11,Notre Dame,Ind,,997,DNP,6-1,, 9 ,, +5 
10,< 12,Iowa,Big Ten,,934,DNP,7-0,, 11 ,, +7 
11,< 13,Florida,SEC,,867,DNP,6-1,, 12 ,, -3 
12,< 14,Oklahoma State,Big 12,,864,W 58-10 H Kansas,7-0,, 10 ,, +4 
13,< 3,Utah,Pac-12,,838,L 42-24 A USC,6-1,, 14 ,, -9 
14,< 17,Oklahoma,Big 12,,697,W 63-27 H Texas Tech,6-1,, 13 ,, +5 
15,< 15,Michigan,Big Ten,,666,DNP,5-2,, 17 ,, -3 
16,< 18,Memphis,American,,660,W 66-42 A Tulsa,7-0,, 16 ,, +10 
17,< 9,Florida State,ACC,,571,L 22-16 A Georgia Tech,6-1,, 15 ,, -6 
18,< 21,Houston,American,,411,W 59-10 A UCF,7-0,, 19 ,, +6 
19,< 24,Mississippi,SEC,,368,W 23-3 H #15 Texas A&M,6-2,, 21 ,, -6 
20,< 19,Toledo,MAC,,365,W 51-35 A Massachusetts,7-0,, 20 ,, +2 
21,< 22,Temple,American,,307,W 24-14 A East Carolina,7-0,, 22 ,, +5 
22,< 23,Duke,ACC,,274,W 45-43 (4OT) A Virginia Tech,6-1,, 18 ,, +3 
23,< 25,Pittsburgh,ACC,,161,W 23-20 A Syracuse,6-1,, 24 ,, +3 
24,< NR,UCLA,Pac-12,,110,W 40-24 H #20 California,5-2,, 25 ,, -6 
25,< NR,Mississippi State,SEC,,103,W 42-16 H Kentucky,6-2,, RV ,, +1 
RV,< 15,Texas A&M,SEC,,73,L 23-3 A #24 Mississippi,5-2,, RV ,, -17 
RV,< NR,North Carolina,ACC,,46,W 26-13 H Virginia,6-1,, RV ,, -- 
RV,< NR,USC,Pac-12,,33,W 42-24 H #3 Utah,4-3,, RV ,, -- 
RV,< NR,BYU,Ind,,18,W 70-6 H Wagner,6-2,, RV ,, -- 
RV,< NR,Georgia,SEC,,17,DNP,5-2,, 23 ,, -- 
RV,< NR,Wisconsin,Big Ten,,15,W 24-13 A Illinois,6-2,, RV ,, -- 
RV,< NR,Northwestern,Big Ten,,10,W 30-28 A Nebraska,6-2,, RV ,, -6 
RV,< NR,Appalachian State,Sun Belt,,6,W 31-13 H Georgia Southern,6-1,, NR ,, -- 
RV,< 20,California,Pac-12,,5,L 40-24 A UCLA,5-2,, RV ,, -3 
RV,< NR,Washington State,Pac-12,,2,W 45-42 A Arizona,5-2,, RV ,, -- 
NR,< NR,Arizona State,Pac-12,,0,DNP,4-4,, NR ,, -- 
NR,< NR,Boise State,MWC,,0,W 34-14 H Wyoming,6-2,, RV ,, -5 
NR,< NR,Georgia Tech,ACC,,0,W 22-16 H #9 Florida State,3-5,, NR ,, -- 
NR,< NR,Marshall,C-USA,,0,W 30-13 H North Texas,7-1,, RV ,, -- 
NR,< NR,Navy,American,,0,W 31-14 H Tulane,5-1,, RV ,, -- 
NR,< NR,Oregon,Pac-12,,0,DNP,4-3,, RV ,, -- 
NR,< NR,Tennessee,SEC,,0,L 19-14 A #8 Alabama,3-4,, NR ,, -- 
NR,< NR,West Virginia,Big 12,,0,DNP,3-3,, NR ,, -- 
1,< 1,Ohio State (39),Big Ten,,1465,DNP,8-0,, *1 ,3, 0 
2,< 2,Baylor (6),Big 12,,1408,DNP,7-0,, *2 ,6, 0 
3,< 3,Clemson (6),ACC,,1381,W 56-41 A NC State,8-0,, *5 ,1, +3 
4,< 4,LSU (5),SEC,,1346,DNP,7-0,, *4 ,2, +1 
5,< 5,TCU (4),Big 12,,1336,W 40-10 H West Virginia,8-0,, *3 ,8, -1 
6,< 6,Michigan State,Big Ten,,1249,DNP,8-0,, 6 ,7, +1 
7,< 7,Alabama (1),SEC,,1160,DNP,7-1,, 7 ,4, +1 
8,< 9,Notre Dame,Ind,,1019,W 24-20 A #21 Temple,7-1,, 9 ,5, +3 
9,< 8,Stanford,Pac-12,,1014,W 30-28 A Washington State,7-1,, 8 ,11, +1 
10,< 10,Iowa,Big Ten,,954,W 31-15 H Maryland,8-0,, 11 ,9, +2 
11,< 11,Florida,SEC,,923,W 27-3 N Georgia,7-1,, 12 ,10, +2 
12,< 12,Oklahoma State,Big 12,,879,W 70-53 A Texas Tech,8-0,, 10 ,14, +2 
13,< 13,Utah,Pac-12,,809,W 27-12 H Oregon State,7-1,, 14 ,12, -10 
14,< 14,Oklahoma,Big 12,,712,W 62-7 A Kansas,7-1,, 13 ,15, +3 
15,< 16,Memphis,American,,683,W 41-13 H Tulane,8-0,, 16 ,13, +3 
16,< 15,Michigan,Big Ten,,613,W 29-26 A Minnesota,6-2,, 17 ,17, -1 
17,< 17,Florida State,ACC,,571,W 45-21 H Syracuse,7-1,, 15 ,16, -8 
18,< 18,Houston,American,,466,W 34-0 H Vanderbilt,8-0,, 18 ,25, +3 
19,< 19,Mississippi,SEC,,414,W 27-19 A Auburn,7-2,, 19 ,18, +5 
20,< 20,Toledo,MAC,,366,DNP,7-0,, 20 ,24, -1 
21,< NR,North Carolina,ACC,,248,W 26-19 A #23 Pittsburgh,7-1,, 21 ,NR, +5 
22,< 24,UCLA,Pac-12,,190,W 35-31 H Colorado,6-2,, 22 ,23, +4 
23,< 21,Temple,American,,175,L 24-20 H #9 Notre Dame,7-1,, 23 ,22, -1 
24,< 25,Mississippi State,SEC,,144,DNP,6-2,, 25 ,20, +2 
25,< NR,Texas A&M,SEC,,101,W 35-28 H South Carolina,6-2,, 24 ,19, -10 
RV,< NR,Wisconsin,Big Ten,,64,W 48-10 H Rutgers,7-2,, RV ,NR, -- 
RV,< NR,USC,Pac-12,,57,W 27-21 A California,5-3,, RV ,NR, -- 
RV,< NR,BYU,Ind,,27,DNP,6-2,, RV ,NR, -- 
RV,< NR,Northwestern,Big Ten,,21,DNP,6-2,, RV ,21, -- 
RV,< 22,Duke,ACC,,7,L 30-27 H Miami (FL),6-2,, RV ,NR, -3 
RV,< NR,Penn State,Big Ten,,5,W 39-0 H Illinois,7-2,, RV ,NR, -- 
RV,< NR,Appalachian State,Sun Belt,,4,W 44-41 (3OT) H Troy,7-1,, RV ,NR, -- 
RV,< NR,Boise State,MWC,,4,DNP,7-2,, RV ,NR, -- 
RV,< NR,California,Pac-12,,4,L 27-21 H USC,5-3,, NR ,NR, -6 
RV,< 23,Pittsburgh,ACC,,2,L 26-19 H North Carolina,6-2,, RV ,NR, -1 
RV,< NR,Tennessee,SEC,,2,W 52-21 A Kentucky,4-4,, NR ,NR, -- 
RV,< NR,Navy,American,,1,W 29-17 H South Florida,6-1,, RV ,NR, -- 
RV,< NR,Washington State,Pac-12,,1,L 30-28 H #8 Stanford,5-3,, RV ,NR, -- 
NR,< NR,Marshall,C-USA,,0,W 34-10 A Charlotte,8-1,, RV ,NR, -- 
NR,< NR,Oregon,Pac-12,,0,W 61-55 (3OT) A Arizona State,5-3,, RV ,NR, -- 
NR,< NR,Western Kentucky,C-USA,,0,W 55-30 A Old Dominion,7-2,, RV ,NR, -- 
1,< 3,Clemson (31),ACC,,1489,W 23-13 H #17 Florida State,9-0,, *2 ,1, +2 
2,< 1,Ohio State (26),Big Ten,,1460,W 28-14 H Minnesota,9-0,, *1 ,3, -1 
3,< 7,Alabama (2),SEC,,1376,W 30-16 H #4 LSU,8-1,, *4 ,2, +4 
4,< 2,Baylor (2),Big 12,,1351,W 31-24 A Kansas State,8-0,, *3 ,6, -2 
5,< 12,Oklahoma State,Big 12,,1256,W 49-29 H #5 TCU,9-0,, 5 ,8, +7 
6,< 8,Notre Dame,Ind,,1219,W 42-30 A Pittsburgh,8-1,, 6 ,4, +3 
7,< 9,Stanford,Pac-12,,1144,W 42-10 A Colorado,8-1,, 7 ,7, +1 
8,< 10,Iowa,Big Ten,,1091,W 35-27 A Indiana,9-0,, 8 ,5, +2 
9,< 4,LSU,SEC,,1050,L 30-16 A #7 Alabama,7-1,, 9 ,9, -5 
10,< 13,Utah,Pac-12,,900,W 34-23 A Washington,8-1,, 13 ,10, +3 
11,< 11,Florida,SEC,,887,W 9-7 H Vanderbilt,8-1,, 10 ,11, 0 
12,< 14,Oklahoma,Big 12,,858,W 52-16 H Iowa State,8-1,, 11 ,12, +2 
13,< 5,TCU,Big 12,,841,L 49-29 A #12 Oklahoma State,8-1,, 12 ,15, -8 
14,< 6,Michigan State,Big Ten,,807,L 39-38 A Nebraska,8-1,, 14 ,13, -8 
15,< 16,Michigan,Big Ten,,684,W 49-16 H Rutgers,7-2,, 15 ,14, 0 
16,< 18,Houston,American,,561,W 33-30 H Connecticut,9-0,, 16 ,24, +2 
17,< 21,North Carolina,ACC,,506,W 66-31 H Duke,8-1,, 17 ,23, +9 
18,< 22,UCLA,Pac-12,,403,W 41-0 A Oregon State,7-2,, 18 ,19, +6 
19,< 17,Florida State,ACC,,379,L 23-13 A #3 Clemson,7-2,, 18 ,16, -2 
20,< 24,Mississippi State,SEC,,357,W 31-13 A Missouri,7-2,, 20 ,17, +5 
21,< 23,Temple,American,,310,W 60-40 A SMU,8-1,, 21 ,22, 0 
22,< NR,Navy,American,,218,W 45-20 A #15 Memphis,7-1,, 23 ,20, +4 
23,< NR,Wisconsin,Big Ten,,183,W 31-24 A Maryland,8-2,, 22 ,25, +3 
24,< NR,Northwestern,Big Ten,,177,W 23-21 H Penn State,7-2,, 24 ,18, +2 
25,< 15,Memphis,American,,137,L 45-20 H Navy,8-1,, 25 ,21, -9 
RV,< NR,USC,Pac-12,,104,W 38-30 H Arizona,6-3,, RV ,NR, -- 
RV,< NR,BYU,Ind,,35,W 17-16 A San Jose State,7-2,, RV ,NR, -- 
RV,< 19,Mississippi,SEC,,22,L 53-52 (1OT) H Arkansas,7-3,, RV ,NR, -8 
RV,< NR,Boise State,MWC,,6,DNP,7-2,, RV ,NR, -- 
RV,< 25,Texas A&M,SEC,,6,L 26-10 H Auburn,6-3,, RV ,NR, -- 
RV,< 20,Toledo,MAC,,4,L 32-27 H Northern Illinois,7-1,, RV ,NR, -6 
RV,< NR,Washington State,Pac-12,,2,W 38-24 H Arizona State,6-3,, RV ,NR, -- 
RV,< NR,Western Kentucky,C-USA,,2,W 35-19 H Florida Atlantic,8-2,, RV ,NR, -- 
NR,< NR,Appalachian State,Sun Belt,,0,L 40-27 H Arkansas State,7-2,, RV ,NR, -- 
NR,< NR,Arkansas,SEC,,0,W 53-52 (1OT) A #19 Mississippi,5-4,, RV ,NR, -- 
NR,< NR,Bowling Green,MAC,,0,W 62-24 H Ohio,7-2,, RV ,NR, -- 
NR,< NR,Georgia,SEC,,0,W 27-3 H Kentucky,6-3,, RV ,NR, -- 
NR,< NR,Oregon,Pac-12,,0,W 44-28 H California,6-3,, RV ,NR, -- 
NR,< NR,Pittsburgh,ACC,,0,L 42-30 H #8 Notre Dame,6-3,, RV ,NR, -3 
1,< 1,Clemson (34),ACC,,1496,W 37-27 A Syracuse,10-0,, *1 ,1, +2 
2,< 2,Ohio State (23),Big Ten,,1460,W 28-3 A Illinois,10-0,, *2 ,3, -1 
3,< 3,Alabama (4),SEC,,1424,W 31-6 A #20 Mississippi State,9-1,, *3 ,2, +4 
4,< 5,Oklahoma State,Big 12,,1301,W 35-31 A Iowa State,10-0,, 4 ,6, +8 
5,< 6,Notre Dame,Ind,,1286,W 28-7 H Wake Forest,9-1,, 5 ,4, +3 
6,< 8,Iowa,Big Ten,,1216,W 40-35 H Minnesota,10-0,, 6 ,5, +4 
7,< 12,Oklahoma,Big 12,,1182,W 44-34 A #4 Baylor,9-1,, 7 ,7, +7 
8,< 11,Florida,SEC,,1055,W 24-14 A South Carolina,9-1,, 8 ,8, +3 
9,< 14,Michigan State,Big Ten,,1008,W 24-7 H Maryland,9-1,, 9 ,9, -3 
10,< 4,Baylor,Big 12,,946,L 44-34 H #12 Oklahoma,8-1,, 10 ,10, -8 
11,< 13,TCU,Big 12,,857,W 23-17 H Kansas,9-1,, 11 ,18, -6 
12,< 17,North Carolina,ACC,,791,W 59-21 H Miami (FL),9-1,, 12 ,17, +9 
